Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,11577.429688,11742.679688,11577.349609,11674.759766,11674.759766,933840000
2011-01-10,11672.339844,11794.150391,11573.870117,11787.379883,11787.379883,815170000
2011-01-17,11783.820313,11905.480469,11744.769531,11871.839844,11871.839844,799920000
2011-01-24,11873.429688,12020.519531,11803.040039,11823.700195,11823.700195,926210000
2011-01-31,11824.389648,12092.419922,11817.879883,12092.150391,12092.150391,796400000
2011-02-07,12092.379883,12285.940430,12092.299805,12273.259766,12273.259766,881250000
2011-02-14,12266.830078,12391.290039,12193.269531,12391.250000,12391.250000,796100000
2011-02-21,12389.740234,12389.820313,11983.169922,12130.450195,12130.450195,753750000
2011-02-28,12130.450195,12283.099609,12018.629883,12169.879883,12169.879883,854610000
2011-03-07,12171.089844,12257.820313,11936.320313,12044.400391,12044.400391,787500000
2011-03-14,12042.129883,12042.129883,11555.480469,11858.519531,11858.519531,1176310000
2011-03-21,11860.110352,12259.790039,11860.110352,12220.589844,12220.589844,654390000
2011-03-28,12221.190430,12419.709961,12173.509766,12376.719727,12376.719727,726180000
2011-04-04,12374.599609,12450.929688,12320.719727,12380.049805,12380.049805,720760000
2011-04-11,12380.429688,12444.000000,12163.860352,12341.830078,12341.830078,741540000
2011-04-18,12339.709961,12506.059570,12093.889648,12505.990234,12505.990234,710620000
2011-04-25,12505.990234,12832.830078,12446.049805,12810.540039,12810.540039,1000570000
2011-05-02,12810.160156,12876.000000,12521.280273,12638.740234,12638.740234,881460000
2011-05-09,12637.830078,12781.059570,12537.169922,12595.750000,12595.750000,877070000
2011-05-16,12594.769531,12642.900391,12378.839844,12512.040039,12512.040039,893710000
2011-05-23,12511.360352,12511.360352,12309.519531,12441.580078,12441.580078,717490000
2011-05-30,12443.400391,12574.290039,12104.030273,12151.259766,12151.259766,705420000
2011-06-06,12151.190430,12183.120117,11937.419922,11951.910156,11951.910156,814090000
2011-06-13,11945.330078,12120.799805,11862.530273,12004.360352,12004.360352,1027000000
2011-06-20,12004.280273,12217.330078,11874.940430,11934.580078,11934.580078,886570000
2011-06-27,11934.660156,12596.129883,11934.049805,12582.769531,12582.769531,793540000
2011-07-04,12569.870117,12753.889648,12539.209961,12657.200195,12657.200195,540220000
2011-07-11,12655.620117,12655.839844,12406.089844,12479.730469,12479.730469,792090000
2011-07-18,12475.110352,12751.429688,12296.230469,12681.160156,12681.160156,782010000
2011-07-25,12679.719727,12679.950195,12083.450195,12143.240234,12143.240234,836290000
2011-08-01,12144.219727,12282.419922,11139.000000,11444.610352,11444.610352,1295170000
2011-08-08,11433.929688,11434.089844,10604.070313,11269.019531,11269.019531,1928910000
2011-08-15,11269.849609,11529.669922,10801.410156,10817.650391,10817.650391,1192090000
2011-08-22,10820.370117,11406.389648,10820.370117,11284.540039,11284.540039,1197690000
2011-08-29,11286.650391,11716.839844,11211.349609,11240.259766,11240.259766,942140000
2011-09-05,11237.309570,11477.299805,10932.530273,10992.129883,10992.129883,784950000
2011-09-12,10990.009766,11532.469727,10824.759766,11509.089844,11509.089844,1177720000
2011-09-19,11506.820313,11550.219727,10597.139648,10771.480469,10771.480469,1065810000
2011-09-26,10771.780273,11369.299805,10771.780273,10913.379883,10913.379883,1015270000
2011-10-03,10912.099609,11232.049805,10404.490234,11103.120117,11103.120117,1114860000
2011-10-10,11104.559570,11646.830078,11104.559570,11644.490234,11644.490234,743320000
2011-10-17,11643.349609,11812.459961,11296.120117,11808.790039,11808.790039,941450000
2011-10-24,11807.959961,12284.309570,11682.519531,12231.110352,12231.110352,922310000
2011-10-31,12229.219727,12229.290039,11630.030273,11983.240234,11983.240234,842540000
2011-11-07,11983.019531,12187.509766,11736.929688,12153.679688,12153.679688,747030000
